"b","xL","x_kappa","x_lambda","xU","converged","message"
-1.94,-0.724361663467889,0.359093454074912,1.01830246795425,1.66867878774636,TRUE,"Function criterion near zero"
-1.93,-0.729366548023668,0.351370528979295,1.01066965715865,1.6620042136535,TRUE,"Function criterion near zero"
-1.92,-0.734399047566953,0.343639024784349,1.00302880648704,1.65533135172268,TRUE,"Function criterion near zero"
-1.91,-0.739458949512375,0.335899077670919,0.995380054090704,1.64866038331649,TRUE,"Function criterion near zero"
-1.9,-0.744546039228596,0.328150824209171,0.987723538520402,1.64199149056495,TRUE,"Function criterion near zero"
-1.89,-0.749660100127138,0.320394401341654,0.980059398708894,1.63532485635206,TRUE,"Function criterion near zero"
-1.88,-0.754800913749689,0.312629946366655,0.972387773953773,1.62866066430258,TRUE,"Function criterion near zero"
-1.87,-0.759968259853869,0.304857596921844,0.964708803900613,1.62199909876898,TRUE,"Function criterion near zero"
-1.86,-0.765161916497432,0.297077490968211,0.957022628526412,1.61534034481855,TRUE,"Function criterion near zero"
-1.85,-0.770381660120884,0.289289766774298,0.949329388123361,1.60868458822069,TRUE,"Function criterion near zero"
-1.84,-0.7756272656285,0.281494562900721,0.941629223282903,1.60203201543429,TRUE,"Function criterion near zero"
-1.83,-0.780898506467729,0.273692018184967,0.933922274880093,1.59538281359541,TRUE,"Function criterion near zero"
-1.82,-0.786195154706979,0.2658822717265,0.926208684058276,1.58873717050496,TRUE,"Function criterion near zero"
-1.81,-0.791516981111767,0.258065462872126,0.91848859221404,1.58209527461656,TRUE,"Function criterion near zero"
-1.8,-0.796863755219232,0.250241731201673,0.910762140982492,1.57545731502462,TRUE,"Function criterion near zero"
-1.79,-0.802235245411018,0.242411216513918,0.903029472222808,1.56882348145245,TRUE,"Function criterion near zero"
-1.78,-0.807631218984516,0.234574058812806,0.895290728004071,1.56219396424049,TRUE,"Function criterion near zero"
-1.77,-0.813051442222462,0.226730398293954,0.887546050591423,1.55556895433478,TRUE,"Function criterion near zero"
-1.76,-0.818495680460918,0.218880375331407,0.879795582432464,1.54894864327533,TRUE,"Function criterion near zero"
-1.75,-0.823963698155616,0.211024130464675,0.872039466143965,1.54233322318481,TRUE,"Function criterion near zero"
-1.74,-0.829455258946698,0.203161804386022,0.864277844498824,1.53572288675715,TRUE,"Function criterion near zero"
-1.73,-0.834970125721829,0.195293537928036,0.856510860413324,1.52911782724634,TRUE,"Function criterion near zero"
-1.72,-0.840508060677741,0.187419472051428,0.848738656934637,1.52251823845521,TRUE,"Function criterion near zero"
-1.71,-0.846068825380172,0.179539747833111,0.840961377228605,1.51592431472438,TRUE,"Function criterion near zero"
